Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;;;;
globotriaosylceramide;C018549;71965-57-6;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Glycyrrhiza glabra extract;C000722286;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
granite;C007886;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Guanidine;D019791;113-00-8;Pain;MESH:D010146;;ALB;3.22;1;;;;;;;;;;;;;;
Haptens;D006241;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
isoliquiritigenin;C040920;961-29-5;Pain;MESH:D010146;;AKT1|IL1RN|TNF;3.22;4;;;;;;;;;;;;;;
isomenthone;C575995;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Isradipine;D017275;75695-93-1;Pain;MESH:D010146;;PENK;3.22;1;;;;;;;;;;;;;;
JP5 jet fuel;C029662;8008-20-6;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Kangen-karyu;C468270;;Pain;MESH:D010146;;GRIN1;3.22;1;;;;;;;;;;;;;;
KR-31612;C473250;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
leptocarpin;C093534;73522-63-1;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
martentoxin; Buthus martensi;C471035;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;
methyl 5-((tert-butylcarbamothioylhydrazinylidene)methyl)-1-(2;4-difluorophenyl)pyrazole-4-carboxylate;C577639;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;
methyleugenol;C005223;93-15-2;Pain;MESH:D010146;;ALB|BDKRB2|CACNA2D1|DISC1|KNG1|PLCB1|TAC1;3.22;13;;;;;;;;;;;;;;
microorganism fermentation extract;C508178;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
mono-N-desethylamiodarone;C440780;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
mycotrienin II;C036971;82189-04-6;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
N-2-(4-bromophenyl) ethyl caffeamide;C549043;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
N-(2-thiolethyl)-2-(2-(N'-(2;6-dichlorophenyl)amino) phenyl)acetamide;C472071;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;
N-(3-(aminosulfonyl)-4-chloro-2-hydroxyphenyl)-N'-(2;3-dichlorophenyl)urea;C469668;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;
neosaxitoxin;C034902;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
N-Formylmethionine Leucyl-Phenylalanine;D009240;59880-97-6;Pain;MESH:D010146;;AKT1|TNF;3.22;3;;;;;;;;;;;;;;
PEGylated soluble tumor necrosis factor receptor I;C577771;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
pulegone;C039648;15932-80-6;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
RCF-1 fiber;C103119;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
ruscogenin;C012541;472-11-7;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
RV09 compound;C531164;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
SCH772984;C587178;;Pain;MESH:D010146;;ADM;3.22;1;;;;;;;;;;;;;;
sciadopitysin;C086243;521-34-6;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Sealapex;C055601;115055-59-9;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
silicon titanium dioxide;C111427;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
SMe1EC2;C534359;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Tazobactam;D000078142;93528-38-2;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
titanium nitride;C041500;11116-16-8;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
torbafylline;C061298;105102-21-4;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
trierixin;C525271;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
ultra-high molecular weight polyethylene;C111601;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
undecane;C022884;1120-21-4;Pain;MESH:D010146;;GCH1;3.22;1;;;;;;;;;;;;;;
xyloglucan;C029353;37294-28-3;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
ZD 7155;C095905;;Pain;MESH:D010146;;TNF;3.22;2;;;;;;;;;;;;;;
Deferoxamine;D003676;70-51-9;Pain, Intractable;MESH:D010148;;CXCL8;3.22;1;;;;;;;;;;;;;;
Domperidone;D004294;57808-66-9;Pain, Postoperative;MESH:D010149;;ABCB1;3.22;1;;;;;;;;;;;;;;
Endocannabinoids;D063388;;Pain, Postoperative;MESH:D010149;;ABCB1;3.22;1;;;;;;;;;;;;;;
bardoxolone methyl;C445068;;Angina Pectoris;MESH:D000787;;PLAU;3.21;1;;;;;;;;;;;;;;
Chromium;D002857;7440-47-3;Angina Pectoris;MESH:D000787;;AVP;3.21;2;;;;;;;;;;;;;;
Cyclic AMP;D000242;60-92-4;Angina Pectoris;MESH:D000787;;AVP;3.21;2;;;;;;;;;;;;;;
Enalapril;D004656;75847-73-3;Angina Pectoris;MESH:D000787;;AVP;3.21;2;;;;;;;;;;;;;;
Isoflurane;D007530;26675-46-7;Angina Pectoris;MESH:D000787;;AVP;3.21;2;;;;;;;;;;;;;;
Lithium Chloride;D018021;7447-41-8;Angina Pectoris;MESH:D000787;;AVP|PLAU;3.21;3;;;;;;;;;;;;;;
Phthalic Acids;D010795;;Angina Pectoris;MESH:D000787;;AVP;3.21;2;;;;;;;;;;;;;;
gardiquimod;C546771;;Angina, Stable;MESH:D060050;;TNF;3.21;1;;;;;;;;;;;;;;
Itraconazole;D017964;84625-61-6;Angina, Stable;MESH:D060050;;TNF;3.21;1;;;;;;;;;;;;;;
Pentobarbital;D010424;76-74-4;Angina, Stable;MESH:D060050;;TNF;3.21;1;;;;;;;;;;;;;;
rofecoxib;C116926;;Angina, Stable;MESH:D060050;;TNF;3.21;1;;;;;;;;;;;;;;
trans-10;cis-12-conjugated linoleic acid;C496197;;Angina, Stable;MESH:D060050;;TNF;3.21;1;;;;;;;;;;;;;
Berberine;D001599;2086-83-1;Angina, Unstable;MESH:D000789;;CXCL8;3.21;1;;;;;;;;;;;;;;
Chromium;D002857;7440-47-3;Angina, Unstable;MESH:D000789;;CXCL8;3.21;1;;;;;;;;;;;;;;
Cyclic AMP;D000242;60-92-4;Angina, Unstable;MESH:D000789;;CXCL8;3.21;1;;;;;;;;;;;;;;
Diethylnitrosamine;D004052;55-18-5;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;3.21;2;;;;;;;;;;;;;;
Toluene 2;4-Diisocyanate;D014051;584-84-9;Angina, Unstable;MESH:D000789;;CXCL8;3.21;1;;;;;;;;;;;;;
Benzalkonium Compounds;D001548;;Arthralgia;MESH:D018771;;CSF3;3.21;1;;;;;;;;;;;;;;
bromobenzene;C032036;108-86-1;Arthralgia;MESH:D018771;;MVK;3.21;1;;;;;;;;;;;;;;
Dextran Sulfate;D016264;9042-14-2;Arthralgia;MESH:D018771;;CSF3;3.21;1;;;;;;;;;;;;;;
fluoranthene;C007738;206-44-0;Arthralgia;MESH:D018771;;MVK;3.21;1;;;;;;;;;;;;;;
Sodium Glutamate;D012970;142-47-2;Arthralgia;MESH:D018771;;MVK;3.21;1;;;;;;;;;;;;;;
Tetrachloroethylene;D013750;127-18-4;Arthralgia;MESH:D018771;;MVK;3.21;1;;;;;;;;;;;;;;
tobacco tar;C024746;;Arthralgia;MESH:D018771;;CSF3;3.21;1;;;;;;;;;;;;;;
triadimefon;C032910;43121-43-3;Arthralgia;MESH:D018771;;MVK;3.21;1;;;;;;;;;;;;;;
Troglitazone;D000077288;97322-87-7;Arthralgia;MESH:D018771;;CSF3|MVK;3.21;2;;;;;;;;;;;;;;
Cannabinoids;D002186;;Back Pain;MESH:D001416;;PLAT;3.21;1;;;;;;;;;;;;;;
estradiol 3-benzoate;C074283;50-50-0;Chest Pain;MESH:D002637;;CRH;3.21;1;;;;;;;;;;;;;;
HU 211;C062018;;Chest Pain;MESH:D002637;;CRH;3.21;1;;;;;;;;;;;;;;
Etoposide;D005047;33419-42-0;Headache;MESH:D006261;;IL6;3.21;1;;;;;;;;;;;;;;
hydroquinone;C031927;123-31-9;Headache;MESH:D006261;;IL6;3.21;1;;;;;;;;;;;;;;
Mercury;D008628;7439-97-6;Headache;MESH:D006261;;GNRH1|IL6;3.21;2;;;;;;;;;;;;;;
Mirex;D008917;2385-85-5;Headache;MESH:D006261;;CSF3;3.21;1;;;;;;;;;;;;;;
Cycloheximide;D003513;66-81-9;Low Back Pain;MESH:D017116;;PLAT;3.21;1;;;;;;;;;;;;;;
dicyclohexyl phthalate;C036042;84-61-7;Low Back Pain;MESH:D017116;;SPARC;3.21;1;;;;;;;;;;;;;;
DEET;D003671;134-62-3;Musculoskeletal Pain;MESH:D059352;;ESR1;3.21;1;;;;;;;;;;;;;;
Gentamicins;D005839;;Musculoskeletal Pain;MESH:D059352;;GCH1;3.21;1;;;;;;;;;;;;;;
nitrofen;C007350;;Musculoskeletal Pain;MESH:D059352;;ESR1;3.21;1;;;;;;;;;;;;;;
Diethylhexyl Phthalate;D004051;117-81-7;Neuralgia;MESH:D009437;;CXCR4|CYP17A1|GFRA1|GRK1|GRM5|HTR2C|IL12B|NTRK1|SCN10A|TNF;3.21;7;;;;;;;;;;;;;;
perfluorooctane sulfonic acid;C076994;1763-23-1;Neuralgia;MESH:D009437;;CXCR4|CYP17A1|GFRA1|GRM5|HMGB1|NTRK1|PRKG1|TNF;3.21;7;;;;;;;;;;;;;;
Phenelzine;D010624;51-71-8;Neuralgia;MESH:D009437;;IL12B;3.21;1;;;;;;;;;;;;;;
Vigabatrin;D020888;60643-86-9;Neuralgia;MESH:D009437;;GAL;3.21;1;;;;;;;;;;;;;;
Ammonium Chloride;D000643;12125-02-9;Neuralgia, Postherpetic;MESH:D051474;;CXCL8|SCN8A|SCN9A;3.21;2;;;;;;;;;;;;;;
Camptothecin;D002166;04/03/7689;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;3.21;1;;;;;;;;;;;;;;
naringenin;C005273;480-41-1;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;3.21;1;;;;;;;;;;;;;;
octanoic acid;C031492;124-07-2;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;3.21;1;;;;;;;;;;;;;;
Propylthiouracil;D011441;51-52-5;Neuralgia, Postherpetic;MESH:D051474;;SCN8A|SCN9A;3.21;1;;;;;;;;;;;;;;
furan;C039281;110-00-9;Neuropathy, Painful;MESH:C564945;;THBD;3.21;1;;;;;;;;;;;;;;
1;10-phenanthroline;C025205;66-71-7;Pain;MESH:D010146;;ALB|NPPB;3.21;2;;;;;;;;;;;;;
1;2-diacetylbenzene;C048792;704-00-7;Pain;MESH:D010146;;DRD2;3.21;1;;;;;;;;;;;;;
2-methylacetoacetanilide;C586803;;Pain;MESH:D010146;;BDKRB2;3.21;1;;;;;;;;;;;;;;
4-(5-(4-chlorophenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide;C119130;;Pain;MESH:D010146;;HGF;3.21;1;;;;;;;;;;;;;;
heme arginate;C048849;100438-92-4;Pain;MESH:D010146;;EDN1;3.21;2;;;;;;;;;;;;;;
Hydrogen;D006859;1333-74-0;Pain;MESH:D010146;;NPPB;3.21;1;;;;;;;;;;;;;;
lasiocarpine;C005136;303-34-4;Pain;MESH:D010146;;NPR1|TRPA1;3.21;2;;;;;;;;;;;;;;
Nizatidine;D016567;76963-41-2;Pain;MESH:D010146;;TAC1;3.21;2;;;;;;;;;;;;;;
Pyridoxal Phosphate;D011732;54-47-7;Pain;MESH:D010146;;POMC;3.21;3;;;;;;;;;;;;;;
Ro 32-0432;C085989;151342-35-7;Pain;MESH:D010146;;EDN1;3.21;2;;;;;;;;;;;;;;
torcetrapib;C483909;;Pain;MESH:D010146;;EDN1;3.21;2;;;;;;;;;;;;;;
Buthionine Sulfoximine;D019328;5072-26-4;Pain, Intractable;MESH:D010148;;CXCL8;3.21;1;;;;;;;;;;;;;;
Dactinomycin;D003609;50-76-0;Pain, Intractable;MESH:D010148;;CXCL8;3.21;1;;;;;;;;;;;;;;
lipopolysaccharide; Escherichia coli O111 B4;C440499;;Pain, Intractable;MESH:D010148;;CXCL8;3.21;1;;;;;;;;;;;;;
Oxazolone;D010081;15646-46-5;Pain, Intractable;MESH:D010148;;CXCL8;3.21;1;;;;;;;;;;;;;;
Pravastatin;D017035;81093-37-0;Pain, Intractable;MESH:D010148;;CXCL8;3.21;1;;;;;;;;;;;;;;
Sulfasalazine;D012460;599-79-1;Pain, Intractable;MESH:D010148;;CXCL8;3.21;1;;;;;;;;;;;;;;
Fenbendazole;D005273;43210-67-9;Pain, Postoperative;MESH:D010149;;ABCB1;3.21;1;;;;;;;;;;;;;;
Phenylbutyrates;D010654;;Pain, Postoperative;MESH:D010149;;ABCB1;3.21;1;;;;;;;;;;;;;;
benazepril;C044946;86541-75-5;Angina Pectoris;MESH:D000787;;PLAU;3.20;1;;;;;;;;;;;;;;
butylparaben;C038091;94-26-8;Angina Pectoris;MESH:D000787;;AVP;3.20;2;;;;;;;;;;;;;;
Dinoprostone;D015232;363-24-6;Angina Pectoris;MESH:D000787;;AVP;3.20;2;;;;;;;;;;;;;;
SCH 23390;C534628;;Angina Pectoris;MESH:D000787;;AVP;3.20;2;;;;;;;;;;;;;;
AM 251;C103505;;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
Bromocriptine;D001971;25614-03-3;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
Butylated Hydroxyanisole;D002083;25013-16-5;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
Clonidine;D003000;4205-90-7;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
Coal Ash;D060729;;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
Ribavirin;D012254;36791-04-5;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
Ziram;D015039;137-30-4;Angina, Stable;MESH:D060050;;TNF;3.20;1;;;;;;;;;;;;;;
1;2-dibromo-4-(1;2-dibromoethyl)cyclohexane;C517232;;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;;
3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol;C572491;;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;;;;
Cannabinoids;D002186;;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;;;;
Coal;D003031;;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;;;;
N;N;N';N'-tetrakis(2-pyridylmethyl)ethylenediamine;C044387;16858-02-9;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;
pyrene;C030984;129-00-0;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;;;;
Wortmannin;D000077191;19545-26-7;Angina, Unstable;MESH:D000789;;CXCL8;3.20;1;;;;;;;;;;;;;;
tributyltin;C011559;688-73-3;Arthralgia;MESH:D018771;;CSF3;3.20;1;;;;;;;;;;;;;;
diisononyl phthalate;C012125;28553-12-0;Back Pain;MESH:D001416;;PLAT;3.20;1;;;;;;;;;;;;;;
Dopamine;D004298;51-61-6;Back Pain;MESH:D001416;;PLAT;3.20;1;;;;;;;;;;;;;;
Cyclophosphamide;D003520;50-18-0;Chest Pain;MESH:D002637;;CRH;3.20;1;;;;;;;;;;;;;;
Risperidone;D018967;106266-06-2;Chest Pain;MESH:D002637;;CRH;3.20;1;;;;;;;;;;;;;;
Clofibrate;D002994;637-07-0;Dysmenorrhea;MESH:D004412;;OXT;3.20;1;;;;;;;;;;;;;;
decabromobiphenyl ether;C010902;1163-19-5;Dysmenorrhea;MESH:D004412;;OXT;3.20;1;;;;;;;;;;;;;;
Streptozocin;D013311;18883-66-4;Dysmenorrhea;MESH:D004412;;AVP;3.20;1;;;;;;;;;;;;;;
beta-hexachlorocyclohexane;C023888;;Headache;MESH:D006261;;GNRH1;3.20;1;;;;;;;;;;;;;;
Chlormequat;D002716;999-81-5;Headache;MESH:D006261;;GNRH1;3.20;1;;;;;;;;;;;;;;
diisodecyl phthalate;C042080;26761-40-0;Headache;MESH:D006261;;OXT;3.20;1;;;;;;;;;;;;;;
Hydralazine;D006830;86-54-4;Headache;MESH:D006261;;IL6;3.20;1;;;;;;;;;;;;;;
testosterone-3-carboxymethyloxime-bovine serum albumin conjugate;C045037;;Headache;MESH:D006261;;GNRH1;3.20;1;;;;;;;;;;;;;;
cupric chloride;C029892;7447-39-4;Low Back Pain;MESH:D017116;;SPARC;3.20;1;;;;;;;;;;;;;;
Ionomycin;D015759;56092-81-0;Low Back Pain;MESH:D017116;;SPARC;3.20;1;;;;;;;;;;;;;;
Plant Oils;D010938;;Low Back Pain;MESH:D017116;;PLAT;3.20;1;;;;;;;;;;;;;;
Dihydrotestosterone;D013196;521-18-6;Musculoskeletal Pain;MESH:D059352;;ESR1;3.20;1;;;;;;;;;;;;;;
indole-3-carbinol;C016517;700-06-1;Musculoskeletal Pain;MESH:D059352;;ESR1;3.20;1;;;;;;;;;;;;;;
Streptozocin;D013311;18883-66-4;Musculoskeletal Pain;MESH:D059352;;ESR1;3.20;1;;;;;;;;;;;;;;
16;16-Dimethylprostaglandin E2;D015064;39746-25-3;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;
17-hydroxy-4;7;10;13;15;19-docosahexaenoic acid;C062894;90780-52-2;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine;C400184;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
3-(3-chloro-4-hydroxyphenylamino)-4-(4-nitrophenyl)-1H-pyrrole-2;5-dione;C417520;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;
5-(3-methoxy-5-(4-methoxystyryl)phenoxy)-2;2-dimethylpentanoic acid;C000598659;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;
Albumin-Bound Paclitaxel;D000068196;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
alloin;C006457;8015-61-0;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
bis(maltolato)oxovanadium(IV);C074212;38213-69-3;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
boldenone undecylenate;C001371;13103-34-9;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
caraway oil;C104525;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
Chloranil;D002703;118-75-2;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
fidarestat;C077139;136087-85-9;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
ginsenoside Rh1;C425564;63223-86-9;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
Meclofenamic Acid;D008469;644-62-2;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
nectandrin-B;C524653;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
nifuroxazide;C013150;965-52-6;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
nymphayol;C000594859;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
Pentetic Acid;D004369;67-43-6;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
SM 164;C533467;;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
testosterone-3-carboxymethyloxime-bovine serum albumin conjugate;C045037;;Neuralgia;MESH:D009437;;CXCR4;3.20;1;;;;;;;;;;;;;;
tetramethylthiourea;C019107;2782-91-4;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
wedelolactone;C051122;524-12-9;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
yangonin;C110481;500-62-9;Neuralgia;MESH:D009437;;TNF;3.20;1;;;;;;;;;;;;;;
Diethylnitrosamine;D004052;55-18-5;Neuralgia, Postherpetic;MESH:D051474;;CXCL8|SCN8A;3.20;2;;;;;;;;;;;;;;
Nitroglycerin;D005996;55-63-0;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;3.20;1;;;;;;;;;;;;;;
acetamide;C030686;60-35-5;Neuropathy, Painful;MESH:C564945;;THBD;3.20;1;;;;;;;;;;;;;;
2-(4-hydroxyphenyl)-3-phenylpent-2-enoic acid (4-(2-dimethylaminoethoxy)phenyl)amide;C553231;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
ABT-100;C503142;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
Allylamine;D000499;107-11-9;Pain;MESH:D010146;;AVP;3.20;2;;;;;;;;;;;;;;
AZD4547;C572463;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
BMS 536924;C504983;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
carboxyamido-triazole;C062058;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
clothianidin;C480342;;Pain;MESH:D010146;;HGF|TNF;3.20;3;;;;;;;;;;;;;;
danhong;C540581;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
ethyl 8-oxo-8H-acenaphtho(1;2-b)pyrrole-9-carboxylate;C560274;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;
LM-1685;C501175;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
malvidin-3-O-glucoside-4 vinyl;C480486;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
ML 9;C056218;105637-50-1;Pain;MESH:D010146;;CSF2;3.20;1;;;;;;;;;;;;;;
naftopidil;C064357;57149-07-2;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
Norethindrone;D009640;68-22-4;Pain;MESH:D010146;;OXT;3.20;2;;;;;;;;;;;;;;
Novobiocin;D009675;303-81-1;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
NSC 74859;C520337;;Pain;MESH:D010146;;CSF2;3.20;1;;;;;;;;;;;;;;
NVP ADW742;C502355;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
olprinone;C059498;119615-63-3;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
pelargonic acid;C008776;112-05-0;Pain;MESH:D010146;;IL2|TNF;3.20;3;;;;;;;;;;;;;;
plitidepsin;C098980;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
Pulsatilla saponin A;C000588664;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
tofacitinib;C479163;;Pain;MESH:D010146;;AKT1|IL2|TNF;3.20;4;;;;;;;;;;;;;;
Trp-Lys-Tyr-Met-Val-Met;C113617;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
wuzi yanzong;C528421;;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
xanthosine;C005893;146-80-5;Pain;MESH:D010146;;AKT1;3.20;1;;;;;;;;;;;;;;
zingerone;C013738;122-48-5;Pain;MESH:D010146;;AKT1|TNF;3.20;3;;;;;;;;;;;;;;
caffeic acid phenethyl ester;C055494;104594-70-9;Pain, Intractable;MESH:D010148;;CXCL8;3.20;1;;;;;;;;;;;;;;
Cobalt;D003035;7440-48-4;Pain, Intractable;MESH:D010148;;CXCL8;3.20;1;;;;;;;;;;;;;;
Colchicine;D003078;64-86-8;Pain, Intractable;MESH:D010148;;CXCL8;3.20;1;;;;;;;;;;;;;;
geldanamycin;C001277;30562-34-6;Pain, Intractable;MESH:D010148;;CXCL8;3.20;1;;;;;;;;;;;;;;
carbendazim;C006698;10605-21-7;Angina Pectoris;MESH:D000787;;PLAU;3.19;1;;;;;;;;;;;;;;
ormosil;C510784;;Angina Pectoris;MESH:D000787;;PLAU;3.19;1;;;;;;;;;;;;;;
Panobinostat;D000077767;;Angina Pectoris;MESH:D000787;;PLAU;3.19;1;;;;;;;;;;;;;;
Lactic Acid;D019344;50-21-5;Angina, Stable;MESH:D060050;;MMP9|TNF;3.19;1;;;;;;;;;;;;;;
Triclosan;D014260;3380-34-5;Angina, Stable;MESH:D060050;;MMP9|TNF;3.19;1;;;;;;;;;;;;;;
Zinc Acetate;D019345;5970-45-6;Angina, Stable;MESH:D060050;;TNF;3.19;1;;;;;;;;;;;;;;
cadmium sulfate;C037123;10124-36-4;Angina, Unstable;MESH:D000789;;CXCL8;3.19;1;;;;;;;;;;;;;;
Isoniazid;D007538;54-85-3;Angina, Unstable;MESH:D000789;;CXCL8;3.19;1;;;;;;;;;;;;;;
Cannabinoids;D002186;;Arthralgia;MESH:D018771;;CSF3;3.19;1;;;;;;;;;;;;;;
Cyclic AMP;D000242;60-92-4;Arthralgia;MESH:D018771;;CSF3;3.19;1;;;;;;;;;;;;;;
Furosemide;D005665;54-31-9;Arthralgia;MESH:D018771;;CSF3;3.19;1;;;;;;;;;;;;;;
Cholecalciferol;D002762;67-97-0;Back Pain;MESH:D001416;;PLAT;3.19;1;;;;;;;;;;;;;;
SCH 23390;C534628;;Back Pain;MESH:D001416;;PLAT;3.19;1;;;;;;;;;;;;;;
Imipramine;D007099;50-49-7;Chest Pain;MESH:D002637;;CRH;3.19;1;;;;;;;;;;;;;;
Coumestrol;D003375;479-13-0;Dysmenorrhea;MESH:D004412;;OXT;3.19;1;;;;;;;;;;;;;;
fipronil;C082360;120068-37-3;Dysmenorrhea;MESH:D004412;;OXT;3.19;1;;;;;;;;;;;;;;
Glyphosate;D000097797;;Dysmenorrhea;MESH:D004412;;OXT;3.19;1;;;;;;;;;;;;;;
Nicotine;D009538;;Dysmenorrhea;MESH:D004412;;AVP;3.19;1;;;;;;;;;;;;;;
Vincristine;D014750;;Dysmenorrhea;MESH:D004412;;AVP;3.19;1;;;;;;;;;;;;;;
4-tert-octylphenol;C105260;140-66-9;Headache;MESH:D006261;;OXT;3.19;1;;;;;;;;;;;;;;
vinclozolin;C025643;50471-44-8;Low Back Pain;MESH:D017116;;PLAT;3.19;1;;;;;;;;;;;;;;
bisphenol S;C543008;80-09-1;Neuralgia;MESH:D009437;;CXCR4|CYP17A1|GFRA1|GRM5|IL12B|NTRK1|PRKG1|TAC1|TNF;3.19;7;;;;;;;;;;;;;;
dicyclohexyl phthalate;C036042;84-61-7;Neuralgia;MESH:D009437;;CYP17A1|NTRK1|PRKG1;3.19;3;;;;;;;;;;;;;;
Arachidonic Acid;D016718;;Neuralgia, Postherpetic;MESH:D051474;;CXCL8;3.19;1;;;;;;;;;;;;;;
